weekday_name,hour,avg_demand
Saturday,17,5.895138099149914
Saturday,8,5.817702425044461
Saturday,18,5.707689121178878
Saturday,16,5.421289986142146
Saturday,19,5.331088131774537
Saturday,9,5.274270432512684
Saturday,7,5.134989169929625
Saturday,13,5.1067251868250905
Saturday,15,5.103883851099425
Saturday,12,5.074840298033734
Saturday,14,5.024588522018226
Saturday,20,4.982525003733022
Saturday,11,4.862055951724308
Saturday,21,4.767362740883101
Saturday,22,4.688475061172362
Saturday,10,4.677288799507643
Saturday,23,4.42583229242414
Saturday,6,4.103559386941309
Saturday,0,3.512317896664321
Saturday,5,2.7192762076409367
Saturday,1,2.6995943234301905
Saturday,2,2.148581875284159
Saturday,3,1.4079019131215937
Saturday,4,1.3392704527638994
Thursday,17,5.765599769307204
Thursday,8,5.682608793111056
Thursday,18,5.670295827135415
Thursday,19,5.339186165730417
Thursday,16,5.086086493239445
Thursday,7,5.070889512751197
Thursday,9,5.015462433859091
Thursday,20,4.9798348728326545
Thursday,12,4.677207281151321
Thursday,13,4.654845496033397
Thursday,21,4.652857810937397
Thursday,15,4.650089745967155
Thursday,14,4.619825507276507
Thursday,11,4.415018721317868
Thursday,22,4.368127734146268
Thursday,10,4.35254525754606
Thursday,6,4.110246855898139
Thursday,23,3.8798044969243755
Thursday,0,2.943485761093584
Thursday,5,2.468582919659524
Thursday,1,2.0883938138296205
Thursday,2,1.4241100395648716
Thursday,3,1.1159284340391449
Thursday,4,1.0993804622796912
